ts,p_water
200101070000,0.051001821493624776
200101070030,0.10193826274228285
200101070100,0.0037313432835820895
200101070130,0.0031496062992125984
200101070200,0.0046875
200101070230,0.001851851851851852
200101070300,0.0018726591760299626
200101070330,0.004132231404958678
200101070400,0.03528114663726571
200101070430,0.036488027366020526
200101070500,0.0
200101070530,0.0019047619047619048
200101070600,0.0020491803278688526
200101070700,0.018867924528301886
200101070730,0.008213552361396304
200101070800,0.011647254575707155
200101070830,0.011904761904761904
200101070900,0.023404255319148935
200101070930,0.08211143695014662
200101071000,0.12987012987012986
200101071030,0.20650095602294455
200101071100,0.21008403361344538
200101071130,0.10196078431372549
200101071200,0.07480314960629922
200101071230,0.18503937007874016
200101071300,0.17857142857142858
200101071330,0.12145110410094637
200101071400,0.14433880726015558
200101071430,0.1158273381294964
200101071500,0.14007220216606497
200101071530,0.16522423288749016
200101071600,0.17047619047619048
200101071630,0.1586608442503639
200101071700,0.12247191011235956
200101071730,0.11026352288488211
200101071800,0.11838191552647234
200101071830,0.09375
200101071900,0.023154848046309694
200101071930,0.09100700053850296
200101072130,0.13439635535307518
200101072200,0.1029110291102911
200101072230,0.07681628875520592
200101072300,0.12153419593345656
200101072330,0.12334047109207709
200101080000,0.12235887732576474
200101080230,0.06252646436132675
200101080300,0.05663910126384771
200101080330,0.08039917153078516
200101080400,0.08224209517725967
200101080500,0.2086975058622895
200101080530,0.24100946372239748
200101080630,0.3458715596330275
200101080700,0.3435114503816794
200101080800,0.3667687595712098
200101080830,0.40572139303482585
200101080900,0.37900998512853196
200101080930,0.3562457182005024
200101081000,0.37376237623762376
200101081030,0.30583333333333335
200101081130,0.3092369477911647
200101081200,0.31551596139569416
200101081230,0.3517034068136273
200101081300,0.21534090909090908
200101081330,0.2358490566037736
200101081400,0.22867737948084055
200101081430,0.32558139534883723
200101081500,0.2646551724137931
200101081530,0.27183480027081924
200101081600,0.28441151325163866
200101081630,0.17059708981435023
200101081700,0.18309859154929578
200101081800,0.17240103588605254
200101081830,0.1964193046185781
200101081900,0.15134660421545668
200101081930,0.22362052274927396
200101082000,0.20358649789029537
200101082030,0.15189363416599516
200101082130,0.0006143449546920596
200101082200,0.0
200101082230,0.0
200101082300,0.0
200101082330,0.0
200101090000,0.0
200101090030,0.0
200101090130,0.0
200101090230,0.0
200101090300,0.0
200101090330,0.0
200101090400,0.0
200101090500,0.0
200101090530,0.0
200101090600,0.0
200101090630,0.0
200101090700,0.0
200101090730,0.0
200101090800,0.0
200101090830,0.0
200101090900,0.0
200101090930,0.0
200101091000,0.0
200101091030,0.0
200101091100,0.0
200101091130,0.0
200101091200,0.0
200101091230,0.0
200101091300,0.0
200101091330,0.0
200101091400,0.0
200101091430,0.0
200101091500,0.0
200101091530,0.0
200101091600,0.0
200101091630,0.0
200101091700,0.0
200101091730,0.0
200101091800,0.0
200101091830,0.0
200101091930,0.0
200101092000,0.0
200101092030,0.0
200101092100,0.0
200101092130,0.0
200101092200,0.0
200101092230,0.0
200101092300,0.0
200101092330,0.0
200101100000,0.0
200101100030,0.0
200101100100,0.0
200101100130,0.0
200101100230,0.0
200101100300,0.0
200101100330,0.0
200101100400,0.0
200101100430,0.0
200101100530,0.0
200101100600,0.0
200101100630,0.0
200101100730,0.0
200101100800,0.0
200101100830,0.0
200101100900,0.0
200101100930,0.0
200101101000,0.0
200101101030,0.0
200101101100,0.0
200101101130,0.0
200101101200,0.0
200101101230,0.0
200101101300,0.0
200101101330,0.0
200101101400,0.0
200101101430,0.0
200101101500,0.0
200101101530,0.0
200101101600,0.0
200101101630,0.0
200101101700,0.0
200101101730,0.0
200101101800,0.0
200101101830,0.0
200101101900,0.0
200101102000,0.0
200101102030,0.0
200101102100,0.0
200101102130,0.0
200101102230,0.0
200101102330,0.005703422053231939
200101110000,0.0
200101110100,0.0
200101110130,0.0
200101110200,0.0
200101110300,0.2563540753724803
200101110330,0.08722264728385616
200101110430,0.0016666666666666668
200101110500,0.0015
200101110530,0.02648505486189936
200101110600,0.0
200101110630,0.0020300446609825416
200101110700,0.0
200101110730,0.0
200101110800,0.23093818638217758
200101110830,0.07476139978791092
200101110900,0.0
200101110930,0.0
200101111000,0.0
200101111030,0.0
200101111100,0.0
200101111130,0.0
200101111200,0.0
200101111230,0.0
200101111300,0.0
200101111330,0.045402298850574715
200101111400,0.04543968617195162
200101111430,0.025414754677020826
200101111500,0.09047485248665356
200101111530,0.198846470749794
200101111600,0.2540119760479042
200101111630,0.2614823412369425
200101111700,0.05693463903438852
200101111800,0.1343757081350555
200101111830,0.08977221974095578
200101112000,0.0
200101112030,0.004275026718916993
200101112130,0.015569250729808628
200101112230,0.0
200101112300,0.01519485162674294
200101112330,0.08234402626925992
200101120000,0.11218587008060692
200101120100,0.06578947368421052
200101120200,0.0
200101120230,0.0
200101120330,0.0
200101120400,0.0
200101120430,0.0008521516829995739
200101120500,0.08211420481359132
200101120530,0.06844106463878327
200101120600,0.0
200101120730,0.0
200101120800,0.0
200101120830,0.0
200101120900,0.0
200101120930,0.0
200101121000,0.0
200101121030,0.0
200101121100,0.0
200101121130,0.0
200101121200,0.0
200101121230,0.0
200101121300,0.0
200101121330,0.0
200101121400,0.0
200101121430,0.0
200101121500,0.0
200101121600,0.0
200101121700,0.0
200101121730,0.0
200101121800,0.0
200101121830,0.0
200101121900,0.0
200101122000,0.024531024531024532
200101122030,0.0
200101122100,0.0
200101122130,0.0
200101122200,0.0
200101122300,0.0
200101122330,0.0
200101130000,0.0
200101130030,0.0
200101130130,0.0
200101130200,0.0
200101130230,0.0
200101130300,0.0
200101130330,0.0
200101130400,0.0012881064834693002
200101130430,0.0
200101130600,0.0
200101130630,0.0
200101130900,0.0
200101130930,0.0
200101131000,0.1365561044460127
200101131030,0.11102320675105486
200101131100,0.05436629289840299
200101131130,0.0
200101131230,0.11554078995939461
200101131300,0.269536254163464
200101131500,0.0031665611146295125
200101131800,0.009573542210617928
200101131830,0.09769792251544077
200101132030,0.0
200101132100,0.0
200101132130,0.0
200101132200,0.0
200101132230,0.0
200101132300,0.0
200101140030,0.0
200101140100,0.0
200101140130,0.018590998043052837
200101140200,0.06315789473684211
200101140230,0.031007751937984496
200101140400,0.003988035892323031
200101140430,0.03151065801668211
200101140500,0.0
200101140530,0.0036319612590799033
200101140700,0.19599723947550035
200101140730,0.29689067201604813
200101140900,0.3252623083131558
200101140930,0.3576923076923077
200101141000,0.2984429065743945
200101141100,0.3148602256007847
200101141130,0.3045141545524101
200101141200,0.2775537634408602
200101141230,0.3360995850622407
200101141430,0.3063499757634513
200101141500,0.3021834061135371
200101141530,0.31700934579439255
200101141600,0.30408653846153844
200101141630,0.27785002167316863
200101141700,0.27664504170528265
200101141730,0.26288659793814434
200101141830,0.33756858215420155
200101150100,0.3231211105792245
200101150300,0.2861823522765789
200101150500,0.20940460081190798
200101150530,0.1464471403812825
200101150630,0.20023576961940048
200101150800,0.12611607142857142
200101150830,0.12741046831955924
200101150930,0.14211550940947437
200101151030,0.0847457627118644
200101151100,0.12461538461538461
200101151130,0.10134529147982063
200101151200,0.11587982832618025
200101151230,0.1969823973176865
200101151300,0.19523494374586367
200101151330,0.18334735071488645
200101151400,0.14428857715430862
200101151430,0.14652014652014653
200101151500,0.09515859766277128
200101151530,0.10354223433242507
200101151600,0.1421012849584278
200101151630,0.13671599718111346
200101151700,0.13466666666666666
200101151730,0.14136546184738955
200101151800,0.11379579111457522
200101151830,0.1257606490872211
200101151900,0.1396598030438675
200101151930,0.12527634487840825
200101152000,0.07520091848450057
200101152100,0.03709428129829984
200101152230,0.051696284329563816
200101152300,0.11607142857142858
200101152330,0.12123974475843209
200101160000,0.05719237435008666
200101160030,0.12191358024691358
200101160100,0.04353932584269663
200101160130,0.10612760581174985
200101160200,0.10386029411764706
200101160230,0.12638970157987128
200101160300,0.021021021021021023
200101160330,0.036904761904761905
200101160400,0.12490761271249076
200101160430,0.13609112709832133
200101160500,0.16646191646191646
200101160530,0.1897810218978102
200101160600,0.17946927374301677
200101160630,0.140020366598778
200101160700,0.1444915254237288
200101160730,0.09211478176995419
200101160800,0.07395498392282958
200101160900,0.14327363598500625
200101160930,0.15067911714770799
200101161000,0.1689497716894977
200101161030,0.21714285714285714
200101161100,0.17847124824684432
200101161130,0.1467146714671467
200101161200,0.09905254091300603
200101161300,0.010138740661686232
200101161330,0.02895752895752896
200101161430,0.09218163195629908
200101161530,0.10857805255023184
200101161600,0.08804071246819338
200101161630,0.0768348623853211
200101161700,0.04299947561615102
200101161730,0.04334085778781038
200101161800,0.0902547065337763
200101161830,0.12726382770435635
200101161900,0.12792180195495112
200101161930,0.09035621198957429
200101162000,0.08374116367591082
200101162030,0.07315175097276265
200101162100,0.10062630480167015
200101162130,0.049979347377116894
200101162200,0.06537955243527863
200101162230,0.05530371713508613
200101162300,0.05740987983978638
200101162330,0.029503799731783638
200101170000,0.017401861594496155
200101170100,0.04860267314702309
200101170130,0.034031413612565446
200101170200,0.048503611971104234
200101170230,0.024798154555940023
200101170300,0.028361344537815126
200101170330,0.007528786536758193
200101170400,0.0023952095808383233
200101170430,0.0
200101170500,0.0
200101170530,0.001324942033786022
200101170630,0.0005625879043600563
200101170700,0.0
200101170800,0.0
200101170830,0.0
200101170900,0.0
200101170930,0.0
200101171000,0.0
200101171030,0.0
200101171100,0.0
200101171130,0.0
200101171200,0.0
200101171230,0.0
200101171300,0.0
200101171330,0.0
200101171400,0.0
200101171430,0.0
200101171500,0.0
200101171530,0.0
200101171600,0.0
200101171630,0.0
200101171700,0.0
200101171730,0.0
200101171900,0.0
200101171930,0.0
200101172000,0.0
200101172030,0.0
200101172100,0.0
200101172130,0.0
200101172200,0.0
200101172230,0.0
200101172300,0.0
200101172330,0.0
200101180000,0.0
200101180030,0.0
200101180100,0.0
200101180130,0.0
200101180200,0.0
200101180230,0.0
200101180300,0.0
200101180330,0.0
200101180430,0.0
200101180500,0.0
200101180530,0.0
200101180600,0.0
200101180630,0.0
200101180800,0.0
200101180830,0.0
200101180900,0.0
200101180930,0.0
200101181000,0.0
200101181030,0.0
200101181100,0.0
200101181130,0.0
200101181200,0.0
200101181230,0.0
200101181300,0.0
200101181330,0.0
200101181400,0.0
200101181430,0.0
200101181500,0.0
200101181700,0.0
200101181730,0.0010183299389002036
200101181800,0.0223463687150838
200101181830,0.10983981693363844
200101181900,0.1936245572609209
200101181930,0.19096045197740114
200101182000,0.19823788546255505
200101182030,0.24604966139954854
200101182100,0.2606837606837607
200101182130,0.28133704735376047
200101182200,0.2751540041067762
200101182230,0.22607260726072606
200101182300,0.2012534818941504
200101182330,0.21522921522921523
200101190000,0.29697525206232817
200101190030,0.3902728351126928
200101190100,0.35073068893528186
200101190130,0.2794979079497908
200101190200,0.26737967914438504
200101190230,0.28883495145631066
200101190300,0.6095238095238096
200101190330,0.6642156862745098
200101190400,0.4258373205741627
200101190430,0.5735930735930735
200101190500,0.6321585903083701
200101190530,0.5862068965517241
200101190600,0.6334056399132321
200101190800,0.47746478873239434
200101190830,0.3196428571428571
200101190900,0.3532110091743119
200101190930,0.36082474226804123
200101191000,0.31402651779483604
200101191030,0.34748641304347827
200101191100,0.38558432470258924
200101191130,0.3839970770917063
200101191200,0.12228739002932551
200101191230,0.14315569487983282
200101191300,0.1808143547273982
200101191330,0.12718023255813954
200101191400,0.1554054054054054
200101191430,0.038381742738589214
200101191500,0.0476687543493389
200101191530,0.07986688851913477
200101191600,0.06445783132530121
200101191630,0.04043026706231454
200101191700,0.030346135609293504
200101191730,0.0007459903021260724
200101191800,0.0
200101191830,0.0
